Оборотно-сальдовая ведомость по счету 60 за 2025 г.;;;;;;
;;;;;;
Выводимые данные: БУ (данные бухгалтерского учета);;;;;;
;;;;;;
Счет;Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Контрагенты;Дебет;Кредит;Дебет;Кредит;Дебет;Кредит
Договоры;;;;;;
60;;8 485 332,38;38 487 465,10;35 573 142,99;;5 571 010,27
Divuar Cacao company;1 249 690,13;;410 739,85;473 019,69;1 187 410,29;
569656 от 27.09.2024;;291 422,77;410 739,85;473 019,69;;353 702,61
Обороты за Январь 25;;291 422,77;5 927,53;;;285 495,24
Обороты за Февраль 25;;285 495,24;285 496,26;;1,02;
Обороты за Апрель 25;1,02;;1,02;278 215,73;;278 213,69
Обороты за Июль 25;;278 213,69;;194 803,96;;473 017,65
Обороты за Август 25;;473 017,65;119 315,04;;;353 702,61
WXCOCO454878 от 01.10.2024;1 541 112,90;;;;1 541 112,90;
Palm paradise meals Ltd.;;;2 174 707,69;2 962 618,67;;787 910,98
78789 от 10.09.2024;;;2 174 707,69;2 962 618,67;;787 910,98
Обороты за Январь 25;;;212 049,96;968 883,48;;756 833,52
Обороты за Февраль 25;;756 833,52;308 373,17;407 843,38;;856 303,73
Обороты за Март 25;;856 303,73;433 172,42;353 148,98;;776 280,29
Обороты за Апрель 25;;776 280,29;252 917,70;139 370,30;;662 732,89
Обороты за Май 25;;662 732,89;217 294,25;464 500,23;;909 938,87
Обороты за Июнь 25;;909 938,87;530 082,63;618 047,41;;997 903,65
Обороты за Июль 25;;997 903,65;99 598,99;10 824,88;;909 129,54
Обороты за Август 25;;909 129,54;121 218,57;0,01;;787 910,98
Автотрейд;;1 600 000,00;;;;1 600 000,00
18987 от 11.09.2024;;1 600 000,00;;;;1 600 000,00
"Агроферма ""Коровино""";;2 554 313,75;7 641 169,00;5 487 306,50;;400 451,25
1 от 11.09.2024;;;136 691,50;136 691,50;;
Обороты за Февраль 25;;;;47 591,50;;47 591,50
Обороты за Март 25;;47 591,50;103 691,50;56 100,00;;
Обороты за Апрель 25;;;33 000,00;33 000,00;;
89894 от 10.01.2024;;2 554 313,75;7 504 477,50;5 350 615,00;;400 451,25
Обороты за Январь 25;;2 554 313,75;1 159 841,25;1 001 495,00;;2 395 967,50
Обороты за Февраль 25;;2 395 967,50;654 448,75;290 730,00;;2 032 248,75
Обороты за Март 25;;2 032 248,75;293 155,00;39 780,00;;1 778 873,75
Обороты за Апрель 25;;1 778 873,75;101 513,75;583 365,00;;2 260 725,00
Обороты за Май 25;;2 260 725,00;691 483,75;1 884 500,00;;3 453 741,25
Обороты за Июнь 25;;3 453 741,25;1 659 098,75;1 475 445,00;;3 270 087,50
Обороты за Июль 25;;3 270 087,50;1 490 906,25;75 300,00;;1 854 481,25
Обороты за Август 25;;1 854 481,25;1 454 030,00;;;400 451,25
"База ""Продукты"" ";;4 315 403,75;10 613 992,55;8 610 351,90;;2 311 763,10
1 от 01.01.2024;;4 339 403,75;9 115 197,50;6 869 480,00;;2 093 686,25
Обороты за Январь 25;;4 339 403,75;1 950 451,25;1 572 035,00;;3 960 987,50
Обороты за Февраль 25;;3 960 987,50;1 589 072,50;1 533 610,00;;3 905 525,00
Обороты за Март 25;;3 905 525,00;1 686 471,25;969 630,00;;3 188 683,75
Обороты за Апрель 25;;3 188 683,75;939 295,00;635 425,00;;2 884 813,75
Обороты за Май 25;;2 884 813,75;531 203,75;783 845,00;;3 137 455,00
Обороты за Июнь 25;;3 137 455,00;426 773,75;534 660,00;;3 245 341,25
Обороты за Июль 25;;3 245 341,25;789 825,00;840 275,00;;3 295 791,25
Обороты за Август 25;;3 295 791,25;1 202 105,00;;;2 093 686,25
1 от 10.09.2024;24 000,00;;1 498 795,05;1 740 871,90;;218 076,85
Обороты за Февраль 25;24 000,00;;24 000,00;135 915,50;;87 915,50
Обороты за Март 25;;87 915,50;331 662,40;243 746,90;;
Обороты за Апрель 25;;;94 365,62;199 377,73;;105 012,11
Обороты за Май 25;;105 012,11;692 376,78;587 364,67;;
Обороты за Июнь 25;;;356 390,25;574 467,10;;218 076,85
Вега-транс;;3 000,00;;;;3 000,00
2 от 10.10.2024;;3 000,00;;;;3 000,00
Внуковская таможня;340 428,88;;;;340 428,88;
Таможенный депозит;340 428,88;;;;340 428,88;
ИНТЕРНЕТ РЕШЕНИЯ ООО;;;531 320,00;531 320,00;;
2 от 04.10.2024;;;531 320,00;531 320,00;;
Обороты за Январь 25;;;67 950,00;67 950,00;;
Обороты за Февраль 25;;;65 680,00;65 680,00;;
Обороты за Март 25;;;66 400,00;66 400,00;;
Обороты за Апрель 25;;;66 550,00;66 550,00;;
Обороты за Май 25;;;66 050,00;66 050,00;;
Обороты за Июнь 25;;;68 150,00;68 150,00;;
Обороты за Июль 25;;;65 630,00;65 630,00;;
Обороты за Август 25;;;64 910,00;64 910,00;;
Конфетпром ООО;;1 425 940,20;11 074 603,03;11 182 396,68;;1 533 733,85
3 от 12.01.2025;;;492 750,00;672 200,00;;179 450,00
Обороты за Январь 25;;;488 250,00;584 400,00;;96 150,00
Обороты за Февраль 25;;96 150,00;;83 300,00;;179 450,00
Обороты за Март 25;;179 450,00;4 500,00;4 500,00;;179 450,00
7788 от 09.01.2024;;1 131 507,50;7 851 492,50;6 527 435,00;192 550,00;
Обороты за Январь 25;;1 131 507,50;636 297,50;832 995,00;;1 328 205,00
Обороты за Февраль 25;;1 328 205,00;457 840,00;627 650,00;;1 498 015,00
Обороты за Март 25;;1 498 015,00;1 041 655,00;777 150,00;;1 233 510,00
Обороты за Апрель 25;;1 233 510,00;746 630,00;782 700,00;;1 269 580,00
Обороты за Май 25;;1 269 580,00;1 135 895,00;1 427 375,00;;1 561 060,00
Обороты за Июнь 25;;1 561 060,00;648 256,25;1 314 260,00;;2 227 063,75
Обороты за Июль 25;;2 227 063,75;1 552 062,50;737 465,00;;1 412 466,25
Обороты за Август 25;;1 412 466,25;1 632 856,25;27 840,00;192 550,00;
7788/УЕ от 10.09.2024;;294 432,70;2 730 360,53;3 956 401,68;;1 520 473,85
Обороты за Январь 25;;294 432,70;716 822,37;1 045 375,09;;622 985,42
Обороты за Февраль 25;;622 985,42;333 290,81;0,01;;289 694,62
Обороты за Март 25;;289 694,62;289 696,64;286 894,15;;286 892,13
Обороты за Апрель 25;;286 892,13;143 446,48;736 397,71;;879 843,36
Обороты за Май 25;;879 843,36;303 984,32;522 658,64;;1 098 517,68
Обороты за Июнь 25;;1 098 517,68;796 496,01;759 109,72;;1 061 131,39
Обороты за Июль 25;;1 061 131,39;17 152,88;605 966,36;;1 649 944,87
Обороты за Август 25;;1 649 944,87;129 471,02;;;1 520 473,85
К1 от 01.10.2024;;;;26 360,00;;26 360,00
Обороты за Февраль 25;;;;26 360,00;;26 360,00
Малако Беларусі;;176 793,69;5 223 119,98;5 436 516,55;;390 190,26
1545 от 20.11.2024;;2 200,00;;;;2 200,00
98989 от 01.09.2024;;174 593,69;5 223 119,98;5 436 516,55;;387 990,26
Обороты за Январь 25;;174 593,69;891 690,00;1 583 909,10;;866 812,79
Обороты за Февраль 25;;866 812,79;381 728,04;480 000,71;;965 085,46
Обороты за Март 25;;965 085,46;1 139 857,79;731 151,03;;556 378,70
Обороты за Апрель 25;;556 378,70;655 393,08;198 015,00;;99 000,62
Обороты за Май 25;;99 000,62;603 131,73;1 088 871,42;;584 740,31
Обороты за Июнь 25;;584 740,31;1 063 402,57;1 069 584,89;;590 922,63
Обороты за Июль 25;;590 922,63;487 916,77;284 984,40;;387 990,26
МАРКЕТПЛЕЙС ООО;;;201 000,00;201 000,00;;
Договор на услуги;;;201 000,00;201 000,00;;
Обороты за Апрель 25;;;;39 100,00;;39 100,00
Обороты за Май 25;;39 100,00;39 100,00;74 700,00;;74 700,00
Обороты за Июнь 25;;74 700,00;74 700,00;35 900,00;;35 900,00
Обороты за Июль 25;;35 900,00;35 900,00;51 300,00;;51 300,00
Обороты за Август 25;;51 300,00;51 300,00;;;
Планета пакетов;;;;50 000,00;;50 000,00
4 от 13.09.2024;;;;50 000,00;;50 000,00
Обороты за Январь 25;;;;50 000,00;;50 000,00
РВБ ООО;;;467 100,00;467 100,00;;
1 от 01.03.2024;;;467 100,00;467 100,00;;
Обороты за Март 25;;;76 800,00;76 800,00;;
Обороты за Апрель 25;;;78 600,00;78 600,00;;
Обороты за Май 25;;;78 000,00;78 000,00;;
Обороты за Июнь 25;;;95 800,00;96 100,00;;300,00
Обороты за Июль 25;;300,00;78 400,00;78 100,00;;
Обороты за Август 25;;;59 500,00;59 500,00;;
Сервислог;;;35 000,00;35 000,00;;
1 от 10.01.2025;;;30 000,00;30 000,00;;
Обороты за Январь 25;;;30 000,00;30 000,00;;
1 от 17.01.2025;;;5 000,00;5 000,00;;
Обороты за Январь 25;;;5 000,00;5 000,00;;
ЯНДЕКС МАРКЕТ ООО;;;114 713,00;136 513,00;;21 800,00
Договор на размещение (услуги Маркета);;;114 713,00;136 513,00;;21 800,00
Обороты за Апрель 25;;;;57 913,00;;57 913,00
Обороты за Май 25;;57 913,00;57 913,00;26 400,00;;26 400,00
Обороты за Июнь 25;;26 400,00;26 400,00;20 600,00;;20 600,00
Обороты за Июль 25;;20 600,00;20 600,00;9 800,00;;9 800,00
Обороты за Август 25;;9 800,00;9 800,00;21 800,00;;21 800,00
Итого;;8 485 332,38;38 487 465,10;35 573 142,99;;5 571 010,27
